City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
277,willowmore,-33.2926,23.4895,15.46,51,3,3.69,ZA,1702190451
278,saint-joseph,-21.3667,55.6167,28.95,82,99,4.79,RE,1702190451
279,heunghae,36.1125,129.3522,12.84,77,100,4.21,KR,1702190451
280,sisimiut,66.9395,-53.6735,-4.95,85,100,4.39,GL,1702190451
281,salmon arm,50.6998,-119.3024,0.24,93,100,0.0,CA,1702190451
282,soio,-6.1349,12.3689,27.05,81,93,2.71,AO,1702190452
283,avarua,-21.2078,-159.775,26.03,83,75,10.29,CK,1702190452
284,machico,32.7,-16.7667,20.56,77,75,3.09,PT,1702190452
285,remire-montjoly,4.9167,-52.2667,24.02,94,0,0.51,GF,1702190452
286,jwaneng,-24.6004,24.7303,25.25,50,100,5.87,BW,1702190452
287,pundong,-7.9522,110.3486,29.75,64,75,5.0,ID,1702190452
288,kurchatov,51.6601,35.6521,-3.66,94,100,4.73,RU,1702190452
289,kudat,6.8837,116.8477,29.96,79,40,2.57,MY,1702190452
290,nar'yan-mar,67.6713,53.087,-22.72,91,96,4.92,RU,1702190453
291,tambura,5.6,27.4667,29.59,33,8,1.54,SS,1702190453
292,nizhneangarsk,55.7833,109.55,-24.44,80,39,2.68,RU,1702190453
293,armacao de buzios,-22.7469,-41.8817,22.03,81,22,2.87,BR,1702190453
294,smirnykh,49.75,142.8333,-15.58,77,43,3.51,RU,1702190453
295,san jose del guaviare,2.5729,-72.6459,22.69,99,77,1.02,CO,1702190453
296,harstad,68.799,16.5293,-1.58,75,100,10.73,NO,1702190453
297,badger,64.8,-147.5333,-27.02,74,0,0.0,US,1702190453
298,picos,-7.0769,-41.4669,24.45,69,78,1.2,BR,1702190453
299,maintirano,-18.0667,44.0167,32.83,54,0,3.22,MG,1702190454
300,minas de marcona,-15.2119,-75.1103,14.43,84,80,3.81,PE,1702190454
301,dunedin,-45.8742,170.5036,12.67,65,56,2.11,NZ,1702190454
302,vadso,70.0744,29.7487,-11.91,79,100,9.26,NO,1702190454
303,la paz,-16.5,-68.15,9.99,87,75,2.06,BO,1702190454
304,manokwari,-0.8667,134.0833,27.35,83,100,2.69,ID,1702190454
305,hoeyang,38.7103,127.5983,5.34,87,100,2.71,KP,1702190454
306,castelli,-25.9468,-60.6195,21.34,98,89,3.36,AR,1702190454
307,larkird,35.4894,66.6641,10.7,23,100,2.8,AF,1702190455
308,bikenibeu village,1.3673,173.1241,29.98,79,40,1.54,KI,1702190455
309,puerto penasco,31.3167,-113.5333,16.05,26,0,8.68,MX,1702190455
310,kolpashevo,58.3131,82.9089,-28.27,97,98,2.68,RU,1702190455
311,arawa,-6.2132,155.5367,27.42,85,100,0.07,PG,1702190455
312,oranjemund,-28.55,16.4333,18.27,68,3,3.96,NA,1702190455
313,fort mcmurray,56.7268,-111.381,-8.23,86,100,3.6,CA,1702190234
314,blagoveshchenka,52.8333,79.8667,-19.64,80,64,2.07,RU,1702190455
315,kapa'a,22.0752,-159.319,24.18,83,40,4.63,US,1702190456
316,polyarnyy,69.1989,33.4478,-13.66,94,100,7.47,RU,1702190456
317,brisas de zicatela,15.8369,-97.0419,25.85,74,92,1.39,MX,1702190456
318,kushiro,42.975,144.3747,2.53,38,20,6.69,JP,1702190456
319,rondonopolis,-16.4708,-54.6356,23.53,82,30,0.68,BR,1702190456
320,santos,-23.9608,-46.3336,22.34,59,40,1.34,BR,1702190456
321,oltinko'l,40.8011,72.1634,7.32,50,13,0.81,UZ,1702190456
322,grande prairie,55.1667,-118.8027,-9.9,92,0,0.0,CA,1702190456
323,laascaanood,8.4774,47.3597,24.55,53,37,5.18,SO,1702190456
324,songjianghe,42.1859,127.479,-9.86,58,100,1.63,CN,1702190457
325,armavir,44.9892,41.1234,4.75,92,100,6.42,RU,1702190457
326,langzhong,31.5504,105.9938,13.71,80,100,1.38,CN,1702190457
327,dashitou,43.3067,128.5114,-12.15,57,10,4.75,CN,1702190457
328,lycksele,64.5954,18.6735,-9.07,86,100,1.54,SE,1702190457
329,thurgoona,-36.0451,146.9919,35.45,94,84,1.79,AU,1702190457
330,tamanrasset,22.785,5.5228,8.95,29,0,2.06,DZ,1702190457
331,turbat,26.0023,63.044,26.35,15,0,3.27,PK,1702190458
332,opuwo,-18.0607,13.84,24.29,26,91,2.1,NA,1702190458
333,keetmanshoop,-26.5833,18.1333,17.51,48,0,5.14,NA,1702190458
334,valparaiso,-33.0393,-71.6273,19.71,56,0,0.0,CL,1702190458
335,bardai,11.65,7.2333,18.39,18,100,3.87,NG,1702190458
336,lompoc,34.6391,-120.4579,14.96,74,0,3.6,US,1702190458
337,masindi port,1.6961,32.0861,23.51,77,57,1.75,UG,1702190458
338,tarko-sale,64.9225,77.785,-39.62,100,45,1.17,RU,1702190458
339,pisco,-13.7,-76.2167,20.03,77,0,1.03,PE,1702190458
340,cles,46.3667,11.0333,0.65,100,5,2.81,IT,1702190459
341,ghadamis,30.1337,9.5007,10.01,87,5,4.19,LY,1702190459
342,ghat,24.9647,10.1728,9.76,55,5,4.58,LY,1702190459
343,klamath falls,42.2249,-121.7817,-1.18,84,0,0.45,US,1702190459
344,qamdo,31.1667,97.2333,1.14,27,19,2.06,CN,1702190459
345,dwarka,22.2394,68.9678,26.04,34,0,4.76,IN,1702190459
346,mindelo,16.8901,-24.9804,21.75,88,20,4.12,CV,1702190459
347,jabor,5.921,169.6434,27.94,81,25,7.38,MH,1702190459
348,abilene,32.4487,-99.7331,4.41,51,0,4.12,US,1702190460
349,suva,-18.1416,178.4415,25.71,78,75,3.6,FJ,1702190460
350,gemena,3.25,19.7667,26.57,71,98,0.95,CD,1702190460
351,kisanga,-7.4362,37.7034,28.61,71,22,2.11,TZ,1702190460
352,kailua-kona,19.6406,-155.9956,24.98,83,0,2.06,US,1702190460
353,yuzhno-kurilsk,44.0306,145.8556,0.76,76,98,8.07,RU,1702190460
354,erdenet,49.0333,104.0833,-21.13,89,83,1.07,MN,1702190461
355,colby,39.3958,-101.0524,-9.97,73,0,3.6,US,1702190461
356,cam ranh,11.9214,109.1591,28.98,70,40,5.66,VN,1702190461
357,puerto madryn,-42.7692,-65.0385,17.46,45,100,5.34,AR,1702190327
358,porbandar,21.6422,69.6093,27.99,34,0,2.57,IN,1702190461
359,tolanaro,-25.0319,46.9987,29.04,61,20,8.23,MG,1702190461
360,west kelowna,49.8625,-119.5833,3.36,88,100,1.34,CA,1702190461
